LeagueIndex,HoursPerWeek,TotalHours,UniqueHotkeys,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilityUsed,MaxTimeStamp,APS,HotkeyRate,MinimapkeyRate
5,2.3978952727983707,8.006700845440367,0.004858649999999999,0.0347200545,0.429139686,0.0326677,0.0408673,4.7508,0.019443184500000002,0.1235991,0.00416835,0,0.0,11.755471563559277,2.3952999999999998,0.13799305139230997,0.018553705590113975
5,2.3978952727983707,8.517393171418904,0.0061242,0.038270585999999995,0.381175164,0.0329194,0.0423454,4.8434,0.033678144,0.10562475000000002,0.007655250000000001,0,0.018369945,10.96496894286603,2.15387,0.14641076248798676,0.029850747956004776
4,2.3978952727983707,5.303304908059076,0.0037081499999999995,0.0408346965,0.2589293175,0.0446475,0.0753548,4.043,0.0204173925,0.065892675,0.005566649999999999,0,0.01670526,11.465424968821374,1.16602,0.10904143882609219,0.057306410267405364
3,3.044522437723423,5.993961427306569,0.0009469499999999999,0.0480916965,0.33475576349999997,0.0292203,0.0537352,4.9155,0.017916471,0.037718699999999994,0.0066021,0,0.033946830000000004,11.449485007406793,1.79336,0.06152022209706918,0.02944681854173172
3,2.3978952727983707,6.2166061010848646,0.00340725,0.117577383,0.2095944615,0.0226885,0.0620813,9.374,0.025560304500000002,0.10394325,0.0068145,0,0.0017080500000000002,10.85778672459599,2.04818,0.06322959407864542,0.0574057861125487
1,2.1972245773362196,5.484796933490655,0.0059648999999999995,0.0039736500000000004,0.17598189600000003,0.0940227,0.09053109999999999,4.1017,0.0149137545,0.050706959999999995,0.0049737,0,0.0,11.396537705463201,0.78327,0.11170329962848059,0.005073154850817726
7,3.7612001156935624,9.210440366976517,0.005283449999999999,0.11089342049999999,0.438293064,0.0246117,0.0417671,6.6104,0.039604811999999996,0.20154105000000003,0.00792075,1,0.02200287,11.518480009883557,3.5433700000000004,0.24266846011000823,0.060356641840959305
4,2.70805020110221,7.904334842085095,0.0016638,0.036629442,0.477847431,0.052014,0.0464321,3.3746,0.024142092,0.09157095000000001,0.005823299999999999,1,0.041624205,11.574105226785584,1.95814,0.15687722583676347,0.01955592654253526
4,3.2188758248682006,6.68586094706836,0.0088323,0.0353399085,0.3158505705,0.0244632,0.0521538,6.5664,0.0298180395,0.11596155,0.006628650000000001,0,0.0,11.291492948999805,2.5997600000000003,0.1898846449287626,0.014444567383143059
3,2.833213344056216,8.699681400989514,0.005938349999999999,0.0727063785,0.3338558955,0.0234107,0.0480711,7.0044,0.0356112495,0.1409628,0.0103866255,0,0.0014868000000000001,10.996165601716045,2.5633500000000002,0.06888357891041019,0.028363812393937617
4,1.6094379124341003,5.25227342804663,0.00218595,0.014565507,0.31461484500000003,0.0396381,0.0655,4.2269,0.0138372405,0.06700158,0.005097600000000001,1,0.023304705,11.707842366333887,1.32158,0.04243195909441729,0.012126210293739314
3,2.5649493574615367,5.860786223465865,0.00107085,0.012820552499999999,0.2553418815,0.042436999999999996,0.0680502,4.3222,0.0170940405,0.066239595,0.00747825,0,0.038461215,11.32463010046458,1.12459,0.046550737157541856,0.013296759263375986
3,1.9459101490553132,6.90875477931522,0.0030797999999999997,0.0030797999999999997,0.241425168,0.0548718,0.0792102,6.2293,0.0322924995,0.13224555000000002,0.007690650000000001,0,0.0,10.96046154137522,1.99061,0.22247786130884503,0.0054106278979810215
5,3.4339872044851463,8.517393171418904,0.0022479,0.0359610015,0.404561112,0.0362897,0.0468889,5.4361,0.03146590949999999,0.17530965,0.00786765,0,0.0,11.27407165120037,2.6745900000000002,0.1550425139927989,0.03907577815665204
5,2.833213344056216,7.313886831633462,0.0080181,0.0220548195,0.256637964,0.0451654,0.06475,4.5312,0.030074778000000003,0.11027100000000001,0.0120298935,0,0.020049675,10.69514433474214,1.36287,0.17948011952717427,0.016182628937462855
4,2.1972245773362196,7.601402334583733,0.0016284,0.013060829999999999,0.235094409,0.045790199999999996,0.07688890000000001,3.5,0.0212238045,0.058773735,0.0097956225,0,0.026121659999999998,10.900602225303203,0.84729,0.09248886626774777,0.01733672060333534
5,2.3978952727983707,4.795790545596741,0.0045135,0.008380950000000002,0.4898619255,0.028363600000000003,0.0377947,4.7671,0.018692085,0.24493259999999997,0.006442799999999999,1,0.00902346,11.829960007698967,2.67744,0.13433044213875941,0.003130210200788814
5,2.70805020110221,5.860786223465865,0.005894099999999999,0.041267019,0.286510785,0.06707439999999999,0.0713251,4.3786,0.031834512,0.11790855,0.010611503999999999,1,0.0,11.226056395275458,1.79853,0.3644952311054028,0.023599311104068325
4,3.367295829986474,7.00397413672268,0.006354299999999999,0.030520729499999996,0.3230112825,0.040442700000000005,0.059937,4.9961,0.020347123499999998,0.13988309999999998,0.006354299999999999,0,0.0,11.150419266551891,1.91301,0.13494685181990684,0.0272552668308059
5,2.3978952727983707,6.68586094706836,0.007788,0.06133395149999999,0.367030032,0.030765999999999998,0.0494854,4.678999999999999,0.029206593,0.073016925,0.007788,0,0.045757155,11.417570284153372,1.91879,0.1527211797539074,0.0365310698408893
6,1.9459101490553132,6.2166061010848646,0.002478,0.00661095,0.342875904,0.021468599999999997,0.0505253,5.4892,0.023960047499999998,0.08923455,0.008265900000000001,0,0.04957239,11.581676973998272,2.2283600000000003,0.19539533558311942,0.003709409610655369
5,3.044522437723423,6.68586094706836,0.001062,0.051116715,0.23854449299999997,0.0227265,0.0687321,6.7054,0.024493437,0.17358389999999999,0.007451700000000001,0,0.0,11.327860147505211,1.65848,0.044947869736143946,0.032107450798321356
5,2.3978952727983707,6.2166061010848646,0.0025134,0.0,0.407749059,0.051208199999999995,0.052049399999999996,2.8663,0.0260086455,0.057890504999999995,0.00754905,0,0.0,11.566324041694923,1.39862,0.2117540085941857,0.0
